Nitrogen,Phosphorus,Potassium,OC,pH,Crop
142.9,30.8,86.7,0.45,6.8,Safflower
198,35.7,191.3,0.57,8,Safflower
136.9,23.5,86.8,0.37,7.7,Safflower
200.7,41.2,168,0.48,7.3,Safflower
175.3,30.2,152.5,0.48,7.3,Safflower
232.5,35.7,208.8,0.59,8.1,Safflower
240.2,46.3,192.7,0.66,7.9,Safflower
222.1,45.4,197.9,0.72,7.9,Safflower
136.4,21.8,113.4,0.44,7,Safflower
181.7,45.9,174.9,0.52,7.7,Safflower
153.6,31.7,153.5,0.51,7.7,Safflower
274.4,52.2,195,0.74,7.7,Safflower
161,40.5,155.9,0.46,7.7,Safflower
185.4,32.9,136.3,0.52,6.8,Safflower
148,27.1,133.3,0.38,6.8,Safflower
170.9,36.9,141.3,0.48,6.9,Safflower
180.3,31.8,167.7,0.47,7.9,Safflower
159.3,31.9,155.6,0.47,7.4,Safflower
205.4,49.5,192,0.63,7.2,Safflower
213.5,33.3,141.7,0.58,7.8,Safflower
149,31.8,108.9,0.38,7.2,Safflower
245.5,43,224.4,0.69,7.2,Safflower
215.3,41.4,194.3,0.63,8.1,Safflower
140.4,21.5,132.2,0.42,6.9,Safflower
218.6,49.6,212.5,0.7,7,Safflower
170.7,28.7,131.7,0.48,8.1,Safflower
181.8,29.5,134.4,0.55,7.9,Safflower
132.8,33.3,123.2,0.46,7.7,Safflower
292.7,58.9,243.3,0.77,8,Safflower
165.8,32.4,129.4,0.52,7,Safflower
266.8,59.3,208.2,0.74,7.1,Safflower
194.4,27.6,153.3,0.55,7.6,Safflower
141.3,33.7,138.4,0.46,7.8,Safflower
216.5,47.9,199.7,0.59,7.5,Safflower
203.5,35.1,157.4,0.58,7.2,Safflower
264.1,53.9,206.2,0.7,7.3,Safflower
192,35.7,174.8,0.53,7,Safflower
250.7,46.3,220.2,0.7,6.8,Safflower
180,38,156.1,0.5,6.7,Safflower
202.4,30.8,144,0.51,6.7,Safflower
171.5,39.2,158.4,0.46,7.8,Safflower
227.1,40.8,185.6,0.63,7.7,Safflower
165.6,31.9,160.7,0.4,7.4,Safflower
163.7,31.4,112.1,0.48,8.1,Safflower
188.3,42.2,176.4,0.55,7.1,Safflower
80,20,89.2,0.31,8.1,Safflower
217,43,206.3,0.61,7.8,Safflower
217.6,49.1,203.1,0.66,7.8,Safflower
245.2,43.1,212.7,0.6,7.4,Safflower
209.1,35.4,176.7,0.52,6.6,Safflower
270.1,49.2,193.4,0.72,8.1,Safflower
181.5,34.8,156.9,0.59,6.8,Safflower
147.6,30.6,119.2,0.46,7.5,Safflower
177.9,34.7,128.8,0.5,7.3,Safflower
124.6,23.5,81.7,0.42,6.7,Safflower
278.6,60,250,0.8,8,Safflower
187.2,35.7,147.1,0.49,7.6,Safflower
247.9,36.9,181.3,0.57,6.7,Safflower
215.5,36.6,172,0.59,7.7,Safflower
176.3,33.5,166.1,0.59,7.9,Safflower
222.6,38.3,187.7,0.55,7.5,Safflower
211.4,44.1,183.2,0.59,7.5,Safflower
118.8,29.5,148.3,0.36,7.5,Safflower
257.4,48.1,188,0.64,7.2,Safflower
143.4,29.6,100.5,0.49,7.7,Safflower
268.5,47.3,216.5,0.69,7.1,Safflower
186.9,38,145.7,0.5,7.6,Safflower
274.3,49.3,219.3,0.74,7.3,Safflower
238.7,45.3,209.1,0.66,7.5,Safflower
168.1,28.5,132.4,0.47,7.9,Safflower
136.1,21.3,118.1,0.35,8,Safflower
172.1,31.3,152.5,0.53,7.2,Safflower
153.4,25.5,158.3,0.45,7.2,Safflower
208.3,30.7,191.6,0.52,7.2,Safflower
178.1,37.3,150.4,0.53,7.5,Safflower
104,20,106.5,0.34,7.8,Safflower
177.4,33.5,177.1,0.52,7.7,Safflower
234.7,48.5,201.4,0.63,7.7,Safflower
222,42.7,194.3,0.62,7.2,Safflower
172.4,39.7,142.2,0.46,7.5,Safflower
293,54.2,250,0.71,7,Safflower
253.6,47.1,229.9,0.79,7.9,Safflower
227.9,40.7,188.4,0.62,8.1,Safflower
213,42.1,218.5,0.55,8.2,Safflower
155.9,28.5,160.9,0.53,6.9,Safflower
267,50.2,230.9,0.76,7.3,Safflower
206.5,36.2,173.4,0.57,7.4,Safflower
269.2,53.3,173,0.75,7.6,Safflower
120.6,31.2,142.7,0.39,7.5,Safflower
279.2,49.3,221.7,0.75,7.7,Safflower
200.2,40.2,205.3,0.58,7.9,Safflower
149.2,34.3,158.4,0.44,7.2,Safflower
224.1,39,167.3,0.57,6.9,Safflower
157,32.1,117.7,0.49,7.7,Safflower
125.5,28,103.8,0.43,6.9,Safflower
180.1,33,156.4,0.49,7.8,Safflower
221.4,49.8,218.4,0.62,8,Safflower
222.1,43.5,193,0.64,7,Safflower
235.9,50.5,204.3,0.72,7.1,Safflower
246.4,52.2,211.4,0.68,8.1,Safflower
238.3,46.6,216.5,0.67,8,Safflower
225.6,45.9,206.2,0.65,6.9,Safflower
228.7,43.7,186,0.7,7.7,Safflower
189.2,38.5,169.6,0.55,8,Safflower
192,46.7,189,0.61,7.6,Safflower
97.2,20,97.5,0.32,8,Safflower
204.3,48.1,250,0.6,7.9,Safflower
151.7,27.9,126.8,0.51,7.3,Safflower
140.9,27.8,117.3,0.43,7.3,Safflower
171,27.9,156.9,0.54,7.1,Safflower
176.8,39.7,158.1,0.5,7.4,Safflower
160.1,30.1,138.9,0.49,7.6,Safflower
229.3,53.8,200.8,0.67,7.7,Safflower
194.3,37.1,152.1,0.55,7.1,Safflower
182.3,37.4,166.9,0.46,6.8,Safflower
293.9,55.6,247,0.75,8,Safflower
127.4,29.4,150.5,0.35,7.4,Safflower
177.1,38.6,183.2,0.5,7.3,Safflower
243.6,44.3,203.4,0.66,7.9,Safflower
234.6,41.5,184.1,0.62,7.6,Safflower
161.5,30.2,129.7,0.42,8.1,Safflower
206.7,43.5,151.1,0.6,8.2,Safflower
158,37,143,0.56,7.8,Safflower
134.7,28.3,143.8,0.38,8,Safflower
170.1,29.5,150.8,0.47,7.1,Safflower
116.6,23.2,102.4,0.35,8,Safflower
135.6,31.3,90.4,0.37,7.5,Safflower
233.6,51,183.8,0.66,7.6,Safflower
179.7,34.4,122.9,0.48,7.5,Safflower
82.3,20,108.4,0.35,6.8,Safflower
133.8,20,103.2,0.39,8.1,Safflower
124.2,24,99.8,0.42,7.8,Safflower
293.9,52.6,236,0.79,8.4,Safflower
213.8,43.8,165.3,0.62,7.8,Safflower
87.1,20,91.5,0.3,7.4,Safflower
80,20,116.8,0.3,7.5,Safflower
240.8,43.8,219.8,0.63,6.6,Safflower
269.1,48.5,243.3,0.71,6.7,Safflower
278,60,250,0.8,8.1,Safflower
249.3,49.2,243.9,0.69,7.3,Safflower
147,22,110.6,0.48,6.9,Safflower
261.7,44.2,245.6,0.62,6.7,Safflower
170.9,20,133.6,0.42,6.7,Safflower
172.7,28.2,103.8,0.47,7,Safflower
183.9,39.3,147.1,0.53,7.6,Safflower
249.6,47.3,195.2,0.66,8.2,Safflower
137.6,29,103.2,0.35,7,Safflower
168.4,29.8,162.1,0.51,8.4,Safflower
274.7,51.6,213.1,0.8,7.4,Safflower
235.8,42.6,202.6,0.63,7.2,Safflower
266,50.1,183.6,0.74,6.6,Safflower
82.6,20,89.5,0.37,7.4,Safflower
206.8,43.9,152.4,0.52,6.7,Safflower
103.9,24.9,114.5,0.43,7.1,Safflower
269.5,60,232.9,0.8,7.8,Safflower
283.1,55,218.1,0.8,7.8,Safflower
140.5,20,124.6,0.38,6.6,Safflower
295.1,48.7,230.6,0.8,8.4,Safflower
80,23.6,97.3,0.3,7.6,Safflower
106.5,20,80,0.3,8.4,Safflower
300,47,218.5,0.8,6.7,Safflower
254.8,48.4,217,0.65,7.3,Safflower
161.9,36.7,155.7,0.53,7.2,Safflower
96.4,26.9,114.6,0.34,7.6,Safflower
110.3,23.7,84.9,0.35,6.9,Safflower
229.9,44.6,202.3,0.59,6.6,Safflower
80,22,120.2,0.34,7.1,Safflower
205.1,36.1,164.3,0.56,6.9,Safflower
97.7,20,81.5,0.36,6.5,Safflower
150,22.7,106.3,0.32,8.3,Safflower
148,27.7,103.1,0.42,6.6,Safflower
232.2,47.9,208.7,0.7,6.6,Safflower
300,50.8,250,0.77,8.3,Safflower
277.7,56.4,235.9,0.72,7.7,Safflower
89.3,20,108.6,0.37,8.2,Safflower
300,57,250,0.79,7.6,Safflower
191.3,34.3,132.1,0.5,7.8,Safflower
233.5,47.3,198.8,0.55,7.1,Safflower
142.6,31,151.5,0.5,8.1,Safflower
261.4,50,224.7,0.77,7.8,Safflower
188.6,39,203.6,0.59,7.4,Safflower
287.2,49.6,232.7,0.68,7.8,Safflower
100,20,100.8,0.3,6.7,Safflower
138,28.5,111,0.39,7.3,Safflower
271.6,44.7,202.2,0.66,6.8,Safflower
101.8,20,104,0.3,8.4,Safflower
275.7,45.6,242.2,0.8,7,Safflower
80,20,85.5,0.36,8.3,Safflower
94,28.3,88.5,0.33,7.8,Safflower
259.3,48.9,233.2,0.7,6.8,Safflower
186.2,35.6,140.5,0.52,6.7,Safflower
211.9,36.1,214.9,0.59,6.7,Safflower
269.1,54.7,219.4,0.72,7.8,Safflower
300,52.5,248.3,0.79,7.3,Safflower
92.6,20,90.1,0.31,7.9,Safflower
159.7,33.8,182.3,0.5,7.7,Safflower
114.1,20,80,0.39,7.2,Safflower
300,60,250,0.8,7.2,Safflower
238.2,53.4,235.6,0.68,7.4,Safflower
207.5,27.9,170.4,0.52,7.1,Safflower
269.9,44.1,177.2,0.7,7,Safflower
172.9,34.8,198.9,0.48,7.2,Safflower
273.4,58.3,239.7,0.75,7.6,Safflower
300,53.3,250,0.79,8,Safflower
263.9,50.9,237.1,0.74,8.2,Safflower
184.9,41.4,162.1,0.58,8,Safflower
295.3,57.2,250,0.75,7.7,Safflower
283.5,50.7,241.6,0.69,6.7,Safflower
92.6,24.5,96.8,0.3,6.9,Safflower
216,38.9,178.4,0.63,7.9,Safflower
245,43.6,213.1,0.73,7.9,Safflower
199.8,28.1,179,0.55,8.3,Safflower
100.3,20,116.9,0.38,8.3,Safflower
161.5,32.8,154.6,0.56,8.3,Safflower
196.3,36.4,155.8,0.54,6.9,Safflower
290.4,45.8,243.7,0.74,6.8,Safflower
164,30.8,152.2,0.56,6.7,Safflower
223.5,40.3,190.1,0.63,7.7,Safflower
214,40.1,225.4,0.64,8.2,Safflower
171,33.8,147.3,0.51,6.9,Safflower
274.3,46.3,197.2,0.7,6.6,Safflower
219.3,47.5,174.1,0.67,8.4,Safflower
163,22.9,144.3,0.48,8.4,Safflower
135.9,24,122.2,0.42,7.2,Safflower
124.8,27.9,112,0.38,7.5,Safflower
268.9,44,198.3,0.66,6.8,Safflower
179.1,28.5,159.8,0.51,8.3,Safflower
279.7,51.7,223.5,0.78,8.5,Safflower
94.7,20.7,80,0.3,7.7,Safflower
133.4,29.7,126.7,0.46,8.3,Safflower
107.7,20,80,0.42,6.9,Safflower
134.3,29.1,126.4,0.5,6.9,Safflower
299.5,51.4,248.2,0.8,8,Safflower
194.4,39.5,162.8,0.57,6.7,Safflower
172.7,32,180.5,0.5,8.1,Safflower
174.6,34.6,131.7,0.54,6.5,Safflower
204,32.3,175.6,0.59,8.5,Safflower
118.1,23.9,100.5,0.37,7.2,Safflower
116.8,24.6,114.9,0.45,8.4,Safflower
86.5,20,80,0.35,7.2,Safflower
171.3,27,117.8,0.5,7.5,Safflower
137.3,24.6,166.5,0.44,6.7,Safflower
83.2,20,97.4,0.39,6.8,Safflower
212.7,39.9,174.5,0.61,7,Safflower
139.5,34.5,126.5,0.43,6.9,Safflower
274.3,47.1,232.5,0.78,8.4,Safflower
150.6,20,135.7,0.48,8.4,Safflower
284.6,53.9,203.2,0.77,6.9,Safflower
127.9,23.8,139.9,0.39,8.3,Safflower
227.2,37.8,160.8,0.59,8.5,Safflower
180.5,35.8,171.7,0.58,7.1,Safflower
297.3,56.8,226,0.75,8.4,Safflower
271.3,59.7,237.6,0.79,7.5,Safflower
224.3,48.4,243.8,0.77,7.4,Safflower
146.4,31.8,141.7,0.45,8.1,Safflower
201.6,37,189,0.52,7.2,Safflower
138.3,33.9,153.7,0.5,7,Safflower
244.8,47.4,223.5,0.66,7.8,Safflower
125,20.5,111.5,0.41,7.2,Safflower
300,57.4,237.6,0.72,6.9,Safflower
299.7,60,223.2,0.79,7.7,Safflower
242.4,49.3,239.5,0.67,7.7,Safflower
283.1,60,234,0.76,7.7,Safflower
93.1,25.2,94,0.3,7.4,Safflower
82.7,20.6,108.1,0.34,7.7,Safflower
238.2,52.4,222.4,0.64,8.1,Safflower
266.4,50.4,212.1,0.74,6.9,Safflower
249.1,50.1,222.8,0.63,7.9,Safflower
128.7,33,122.9,0.42,7.5,Safflower
159.5,33.8,127.4,0.4,7.4,Safflower
155.1,35.2,185,0.53,7.8,Safflower
82.1,20,80,0.32,8.2,Safflower
105.9,22.3,101.5,0.39,8.2,Safflower
233.4,32,154.9,0.55,8.1,Safflower
182.3,30,155.2,0.52,8.5,Safflower
136.7,21.4,99.4,0.46,8.4,Safflower
144.6,24.7,139.6,0.47,6.5,Safflower
147.8,32.7,108.2,0.44,7.1,Safflower
295.5,58.5,250,0.73,7.3,Safflower
109.2,26.2,116.3,0.43,7.1,Safflower
221.9,36,146.1,0.58,6.6,Safflower
254.5,37.8,228.9,0.76,8.2,Safflower
200.7,33.6,140.2,0.65,7.8,Sesamum
134.2,20.8,81.3,0.42,6.7,Sesamum
138,33.1,124.2,0.43,6.7,Sesamum
165.5,28.7,138.7,0.54,6.7,Sesamum
195.5,27.2,118.6,0.52,7.2,Sesamum
120,22.1,106.4,0.42,6.9,Sesamum
198.4,28.8,205,0.6,6.3,Sesamum
209.8,37.3,166.6,0.65,7.2,Sesamum
227.3,39.9,175.7,0.68,6.5,Sesamum
118.8,19.4,100.5,0.4,6.9,Sesamum
182.8,30.7,147.1,0.56,6.9,Sesamum
207.1,31,182.7,0.68,6.8,Sesamum
216.5,38.8,183,0.66,6.9,Sesamum
167.8,26.9,137.4,0.53,6.7,Sesamum
139.8,23,92.9,0.45,7,Sesamum
204.4,39.4,164.8,0.63,6.8,Sesamum
211.3,36.4,177.6,0.73,6.9,Sesamum
186.2,33,150.6,0.56,7.1,Sesamum
153.4,26.6,137.4,0.51,6.7,Sesamum
180.1,32.6,172,0.58,7,Sesamum
239.6,36.1,201,0.7,6.9,Sesamum
143.7,21.8,157.9,0.49,6.7,Sesamum
183,26,192.6,0.52,7.2,Sesamum
133.9,23.1,127.8,0.42,7,Sesamum
173,27.3,164.3,0.5,7.5,Sesamum
162.2,29.3,125.7,0.48,6.8,Sesamum
195.9,34,165.7,0.63,7.4,Sesamum
175.5,31.6,162.1,0.52,6.8,Sesamum
202.9,35.7,184.7,0.55,7.3,Sesamum
172,33.3,115.4,0.53,7,Sesamum
166.1,33,152.3,0.53,7,Sesamum
178.7,29.4,132.9,0.58,6.4,Sesamum
123.1,20.9,111.7,0.45,7.3,Sesamum
158.5,24.4,127.8,0.46,6.9,Sesamum
163.3,29.6,101.7,0.46,6.8,Sesamum
143.5,16.9,126.9,0.34,7,Sesamum
148.6,26.8,103.7,0.49,7.4,Sesamum
186.1,28.6,153.2,0.6,7.2,Sesamum
145.3,23,106,0.45,7,Sesamum
180.2,31.7,149.7,0.53,7,Sesamum
155.2,28.1,160.4,0.48,7,Sesamum
184.4,28,176.7,0.65,7.6,Sesamum
138.9,22.2,108.4,0.4,7.2,Sesamum
173.4,39.6,173.8,0.62,7.3,Sesamum
174.8,27.8,124.1,0.52,6.7,Sesamum
131.8,20.1,122.4,0.4,6.5,Sesamum
223.5,38.5,148,0.62,6.7,Sesamum
145.7,26.5,130.6,0.48,6.7,Sesamum
109.9,21.2,100.5,0.33,6.7,Sesamum
136.8,26.6,93.9,0.39,6.9,Sesamum
158.3,28,156.6,0.55,7.1,Sesamum
153.5,31.4,124.7,0.56,7.2,Sesamum
206.3,38.5,214.9,0.65,7,Sesamum
179.3,34.1,137.2,0.53,6.9,Sesamum
177.5,32,132.2,0.58,7.2,Sesamum
191.9,31.8,168.9,0.58,6.7,Sesamum
207.9,35.8,167.4,0.65,7.4,Sesamum
121,23.3,94.8,0.39,6.8,Sesamum
146.9,24.9,135.6,0.45,7.6,Sesamum
242.4,41.3,167.6,0.68,7.3,Sesamum
135.9,31.7,130.5,0.55,6.7,Sesamum
158.5,29.6,133.5,0.57,6.7,Sesamum
169.1,32.9,145.2,0.58,7,Sesamum
172.4,29.9,136,0.55,6.9,Sesamum
163.8,27.8,158.2,0.59,6.7,Sesamum
174.3,26.9,147,0.59,6.8,Sesamum
224,41.7,170.9,0.65,7,Sesamum
190.7,33.6,147.2,0.55,7,Sesamum
126.5,27.8,135.3,0.45,6.6,Sesamum
157.2,32.1,112.3,0.51,7.1,Sesamum
139.6,28.1,136.6,0.41,7.3,Sesamum
191.2,34.7,164.4,0.58,6.4,Sesamum
150.8,25.7,95.5,0.47,7.2,Sesamum
191.1,23.3,130.5,0.55,6.8,Sesamum
137.3,18.9,80,0.42,7.2,Sesamum
162.3,28,152.7,0.57,6.8,Sesamum
189.1,27.3,150.8,0.58,7.6,Sesamum
220.7,38.1,205.6,0.61,7,Sesamum
196,29.9,175.3,0.62,6.7,Sesamum
144.4,17.3,116.4,0.42,6.5,Sesamum
195.9,30.3,179.4,0.65,6.3,Sesamum
183.1,37.9,157.4,0.57,6.7,Sesamum
210.1,34,153.1,0.65,6.6,Sesamum
171.4,25.1,164.3,0.49,7.4,Sesamum
197.8,39.4,143.6,0.55,6.8,Sesamum
140.2,23.7,110.9,0.44,7,Sesamum
140.3,25.2,122.3,0.48,6.6,Sesamum
182.2,32.3,162,0.49,7.2,Sesamum
155,24.3,158.9,0.47,7.4,Sesamum
186.3,34.5,156.7,0.57,7.3,Sesamum
166.3,29.7,141.5,0.54,6.6,Sesamum
111.7,17.6,115.7,0.4,7.3,Sesamum
157.9,27.6,164.2,0.43,6.8,Sesamum
224,38.6,188,0.71,6.7,Sesamum
159.4,30.9,155.2,0.55,6.9,Sesamum
260.1,40.4,208.3,0.73,6.5,Sesamum
172.2,30.3,150.9,0.61,6.4,Sesamum
214.2,46.7,199.9,0.65,7.3,Sesamum
130.4,21.6,143.8,0.52,7.2,Sesamum
222,35.7,194.7,0.68,7.2,Sesamum
181.9,29.9,141.2,0.55,6.6,Sesamum
265.9,35,191.6,0.73,7.4,Sesamum
133,20.8,90.2,0.39,7.7,Sesamum
209.9,41.8,149.8,0.69,6.4,Sesamum
250.4,41.7,150.9,0.67,7.5,Sesamum
139.6,27,127.8,0.45,7.5,Sesamum
213.4,34.2,178.8,0.62,6.8,Sesamum
119.9,16.4,94.3,0.32,7.3,Sesamum
150.2,27.1,137,0.51,7.6,Sesamum
261.8,44.5,201.2,0.69,7.1,Sesamum
161.5,23.3,138.4,0.48,7.6,Sesamum
134,19.6,133,0.45,6.3,Sesamum
150.5,32.9,137.1,0.5,6.8,Sesamum
145,26.9,115,0.49,6.5,Sesamum
262.5,47.2,210.2,0.73,7.5,Sesamum
145.5,22.3,90.6,0.41,7.6,Sesamum
256.7,43.2,191.8,0.7,7.3,Sesamum
207.7,28.2,147.2,0.61,6.2,Sesamum
164.1,20.7,137.2,0.49,6.5,Sesamum
222,36,174.4,0.73,6.8,Sesamum
124.6,22.1,153.1,0.41,7,Sesamum
174.2,34.5,149.7,0.47,7,Sesamum
145.8,29,135,0.5,6.8,Sesamum
120.1,19.2,130.9,0.48,6.4,Sesamum
213.1,39,158.2,0.64,7.1,Sesamum
168.1,25.5,121.2,0.56,6.8,Sesamum
111.9,17.7,85.3,0.4,6.9,Sesamum
238.2,40.1,180.3,0.66,7.1,Sesamum
160.2,25.1,133.3,0.57,7.7,Sesamum
199.5,29,138.9,0.58,7.6,Sesamum
248.9,35.3,196,0.65,7.3,Sesamum
127.8,17.8,122.5,0.46,6.5,Sesamum
231.2,44.7,172.2,0.64,6.7,Sesamum
189.3,24,149,0.57,6.5,Sesamum
264.4,41,181.7,0.74,7.1,Sesamum
184.3,33.6,136.4,0.45,7.1,Sesamum
143,28.6,153,0.46,6.8,Sesamum
217.1,33.3,158.5,0.59,7.1,Sesamum
122.2,22.6,104.1,0.51,7.6,Sesamum
156.3,16.4,107.9,0.48,6.2,Sesamum
218.4,45.3,176.3,0.67,6.8,Sesamum
152.8,29,139,0.49,7.4,Sesamum
207.3,27.3,183.1,0.57,6.2,Sesamum
116.3,20.2,84.9,0.35,6.8,Sesamum
222.3,36.4,159.8,0.71,7.1,Sesamum
177.6,33.9,161,0.5,6.5,Sesamum
162.1,27.9,112.9,0.52,7.2,Sesamum
209.7,35.4,174.8,0.6,7.2,Sesamum
121.2,21.2,113.8,0.46,7.5,Sesamum
238.2,35.3,192.4,0.67,7.2,Sesamum
200,32.2,161,0.65,7.3,Sesamum
177.4,29,165,0.54,6.6,Sesamum
192.8,28.9,140.9,0.54,7.1,Sesamum
254.1,40.8,188.4,0.68,7.7,Sesamum
222.5,38.4,167.6,0.66,6.4,Sesamum
203.3,30.9,175.1,0.52,7.1,Sesamum
249.3,43.5,220,0.63,7.3,Sesamum
174.8,28.4,146.2,0.62,7.8,Sesamum
143.1,32.9,123.8,0.48,6.9,Sesamum
208.2,45.1,207.4,0.7,7.2,Sesamum
251.2,40.3,219.6,0.77,6.1,Sesamum
187.6,31,133.7,0.51,7.1,Sesamum
220.8,37.5,174.8,0.65,6.6,Sesamum
173.7,28.1,143.7,0.52,6.8,Sesamum
276.1,39.9,212.7,0.69,7.2,Sesamum
203.8,37.3,154.2,0.63,7,Sesamum
187.3,35.6,142,0.56,7.5,Sesamum
95.4,16.1,110.7,0.4,7.8,Sesamum
200.3,35.9,170,0.57,6.7,Sesamum
209.5,31.5,161.1,0.67,7.3,Sesamum
119.8,15,111.5,0.39,6.8,Sesamum
145.8,24.6,165.4,0.42,7.4,Sesamum
132.2,26.3,145.3,0.54,7.2,Sesamum
223.2,35.7,177.6,0.65,6.6,Sesamum
209.3,30.9,185.7,0.62,7.4,Sesamum
106.7,15.1,80,0.39,6.8,Sesamum
126.7,15.3,123.9,0.42,7.3,Sesamum
222.9,32,167.3,0.64,7.9,Sesamum
202.6,31.1,158.3,0.54,7,Sesamum
108.7,24.1,117.3,0.39,6.8,Sesamum
188,34.4,154.9,0.6,7.3,Sesamum
226.2,30.8,176.1,0.7,6,Sesamum
203.8,37.4,166.2,0.62,7.3,Sesamum
242.4,43.4,190.6,0.7,6.9,Sesamum
127.9,25.7,125.3,0.38,7,Sesamum
140.5,22.5,121.1,0.42,6.9,Sesamum
147.1,27,130,0.44,7.2,Sesamum
128.2,27.6,128.4,0.43,6.7,Sesamum
160.9,17.9,137.9,0.52,6.2,Sesamum
184.5,29.7,158.7,0.5,7.3,Sesamum
157.4,31.1,175,0.51,7,Sesamum
147.9,28.1,134.7,0.45,7.1,Sesamum
107.5,17,101.4,0.34,6.3,Sesamum
136.7,16.3,121.9,0.43,6.4,Sesamum
132.9,27,120.4,0.43,6.9,Sesamum
199.5,37.8,179.9,0.65,6.7,Sesamum
209.8,35.1,157.8,0.61,6.7,Sesamum
172.1,31.9,145.9,0.57,6.9,Sesamum
119.3,16.5,120,0.45,7.2,Sesamum
208.6,35.4,148,0.62,7,Sesamum
152,26.1,138.7,0.47,6.9,Sesamum
264.5,45.4,206.2,0.73,7,Sesamum
141.7,21.4,117.5,0.43,6.8,Sesamum
199.4,39.4,149.5,0.62,7.5,Sesamum
145.5,24.7,114.1,0.43,7.2,Sesamum
120.8,21,113.9,0.35,7.5,Sesamum
151.7,25.8,142.6,0.52,6.2,Sesamum
126.5,15.6,114.4,0.44,7.6,Sesamum
233.2,29.7,169.1,0.67,6.5,Sesamum
245.3,40,183.8,0.69,6.3,Sesamum
222.4,45.1,169.8,0.65,7.2,Sesamum
165.7,30.2,145.3,0.53,7,Sesamum
167.9,30.9,118.8,0.48,6.9,Sesamum
120,15,118.3,0.33,7.5,Sesamum
197.7,29.9,163.5,0.61,7,Sesamum
201.3,34,167.6,0.63,6.7,Sesamum
219.8,35.1,141.8,0.6,6.7,Sesamum
155.3,19.5,117.2,0.4,7.7,Sesamum
154.6,27.1,138.6,0.5,7.2,Sesamum
205.6,35,154.5,0.62,7.1,Sesamum
138.2,29.4,96.5,0.41,6.5,Sesamum
98,15,101.4,0.3,7.4,Sesamum
191.1,31.6,104.3,0.51,6.8,Sesamum
113.3,18.7,116,0.3,6.9,Sesamum
245.7,38,180.9,0.55,6.8,Sesamum
171,26.6,128.6,0.49,6.5,Sesamum
236.3,36.9,208.7,0.67,7.5,Sesamum
185.4,24.8,169.1,0.51,7.8,Sesamum
243.7,40.4,203.5,0.7,6.2,Sesamum
216.6,39.6,191.7,0.7,7.2,Sesamum
214.8,35.7,177.6,0.61,7.7,Sesamum
174.3,24.9,145.5,0.54,6.5,Sesamum
228.7,39.4,197.7,0.64,6.5,Sesamum
112.1,18.2,127.7,0.36,6.5,Sesamum
206.3,36.3,170.3,0.64,7.4,Sesamum
212,32.9,206.4,0.71,7.2,Sesamum
136.8,28.8,120.7,0.5,6.5,Sesamum
199.2,34.4,146.6,0.61,7.4,Sesamum
204.2,35.6,155.4,0.6,7.2,Sesamum
196.7,32.4,158.3,0.56,7.7,Sesamum
193.6,38.6,172,0.56,7.2,Sesamum
196.9,34.7,154.7,0.54,7.4,Sesamum
212.9,32.6,210.4,0.6,7.2,Sesamum
280,48.2,208.1,0.78,6.4,Sesamum
131.7,20.3,117.1,0.44,6.5,Sesamum
183.9,35.7,158.5,0.58,7.1,Sesamum
171.7,24.7,130.7,0.55,6.7,Sesamum
158.8,26.7,139,0.49,6.4,Sesamum
274.5,45.8,211.9,0.77,7.7,Sesamum
131.3,21.5,117.1,0.3,6.7,Sesamum
165.6,22.9,152.3,0.49,6.4,Sesamum
138.2,23.1,112,0.46,7.6,Sesamum
127.4,25,124.9,0.45,6.6,Sesamum
185.5,33.8,119,0.62,7.1,Sesamum
193.3,28.9,163.8,0.55,7.6,Sesamum
201,36.7,184.2,0.61,7.2,Sesamum
176.3,32.8,156.4,0.54,7,Sesamum
109.8,19.6,103.1,0.43,6.4,Sesamum
145.4,34.5,145.8,0.47,7.6,Sesamum
117.3,15,131.2,0.37,6.6,Sesamum
118.8,24.6,93.5,0.34,7,Sesamum
151.5,21.4,120.1,0.42,7.5,Sesamum
148.7,24.4,102.6,0.44,6.9,Sesamum
167.2,33.3,163.9,0.59,6.8,Sesamum
178.4,29,150.2,0.5,7.3,Sesamum
184,38.3,166.6,0.56,7,Sesamum
220.3,32.1,171.3,0.55,7,Sesamum
192.1,24,168.8,0.59,6.3,Sesamum
221.1,37.8,182.9,0.64,7,Sesamum
92.6,15,86.8,0.32,7.3,Sesamum
201.7,34.8,161.5,0.58,6.3,Sesamum
167.7,27.1,145,0.54,6.3,Sesamum
136.6,22.2,133.8,0.46,6.7,Sesamum
219.9,31.6,182.8,0.6,7.5,Sesamum
192.7,38.7,156.2,0.61,6.5,Sesamum
153.6,31.4,147.5,0.52,6.3,Sesamum
182,37.3,146.7,0.54,6.9,Sesamum
195.9,34.1,164.8,0.55,6.8,Sesamum
127.8,25.2,135.9,0.37,7.5,Sesamum
221.5,47.2,178.7,0.68,7,Sesamum
209.3,33.5,161.1,0.59,6.5,Sesamum
217.3,34.5,160.5,0.66,6.7,Sesamum
207.6,37.2,187.9,0.58,7.2,Sesamum
200.8,37.5,143.3,0.58,7.2,Sesamum
115.6,17.5,102.9,0.41,7.3,Sesamum
108.4,21,85.9,0.44,7.3,Sesamum
117.8,19,101.7,0.42,7.5,Sesamum
200.1,34.9,138.7,0.57,7,Sesamum
187.6,27.8,174.1,0.61,6.7,Sesamum
